Agency,Country,Activity Name,Start Year,End Year,Implementer,Description,Link to Website,Pre-Primary,Primary,Secondary,Workforce Development,Education Systems Strengthening
USAID,Malawi,Reading for All Malawi (REFAM),2019,2022,Juarez & Associates,"This is an inclusive education reading program that provides the Ministry of Education with a scalable intervention model that allows for the screening, identification, placement, instruction, and testing of learners with disabilities in order to help them better acquire reading skills.",http://juarezassociates.com/reading-for-all-malawi/,-,X,X,,X
USAID,Malawi,Reading for All Malawi (REFAM),2019,2023,Juarez & Associates,This activity was established to address significant gaps emerging from the general adoption of the National Reading Program as a strategy to improve and promote reading and writing skills in English and Chichewa among Standard 1 to 4 learners with disabilities.,http://juarezassociates.com/reading-for-all-malawi/,-,X,,,X
DOL/OCFT,Colombia,Vamos Tejiendo/Equal Project,2019,2023,PACT,"This activity works to increase job training and economic opportunities for more than 2,000 women and girls who are vulnerable to child labor, forced labor, or violations of labor rights, within the panela (sugarcane) and cut flowers sectors. Children at high risk of Child Labor get access to education or vocational services. Direct participants get training in soft and technical skills based on demands in target value chains, and a later stage job placement.",http://www.dol.gov/agencies/ilab/equal-access-quality-jobs-women-and-girls-agriculture-equal-colombia,,,,X,
USAID,Malawi,"Printing, Binding, and Distribution of Chichewa and English Learners’ Books (LBs) and Teachers’ Guides (TGs) Activity",2022,2023,Kris Offset Printers,Print education materials and textbooks in support of NextGen and other USAID/Malawi activities.,http://www.krisoffset.com/,-,X,,,
USAID,Jordan,Enhancing School Management Project (ESMP),2019,2023,Kaizen,"This activity improves existing management systems and procedures for the planning, construction, and utilization of public schools in Jordan.",http://www.thekaizencompany.com/project/enhancing-school-management-and-planning/,X,X,X,,X
USAID,Nigeria ,Strengthening Education in Northeast Nigeria States (SENSE),2019,2022,Ameircan University of Nigeria ,"This activity aims to improve learning outcomes in literacy and access to quality education for 200,000 primary learners by strengthening the capacity of educational management, improving teacher classroom practice, and enhancing safe learning spaces with quality materials.",https://atikucenter.org/projects/usaid-sense,-,X,,,X
USAID,Tanzania,Waache Wasome (Let Them Learn),2016,2022,World Education Inc./Bantwana Initiative,"This activity’s efforts are rooted in the principle of empowering girls to create and achieve goals for their future while addressing the social/gender norms, economic barriers, and violence that constrain their ability to remain and excel in school. ",https://bantwana.org/project/waache-wasome/,-,,X,X,X
USAID,Jordan,Construction Management Services for JSEP and SKEP,2018,2022,Trigon Associates LLC,"This activity provides overall construction management services for the construction of up to 25 new schools, approximately 70 school expansion and kindergarten (KG) sites, and 50 sports and activity facilities.",https://bitarconsultants.com/projects/educational/jordan-school-expansion-project-jsep,-,,,,
USAID,Pakistan,Sindh Community Mobilization Program,2013,2022,Blumont Engineering Solutions Inc,This activity supports community sensitization for increased enrollment and retention. It also assists the host government to engage private sector Education Management Organizations to improve education service delivery in public schools.,https://blumont.org/program/sindh-community-mobilization-program/,X,X,X, ,X
USAID,Nepal,Nepal Reconstruction Engineering Services (NRES - A&E),2017,2022,CDM International Inc.,"This activity strengthens the Government of Nepal’s ability to manage reconstruction and independently deliver services, utilize disaster resilient designs, adopt improved building codes and internationally accepted best practices in construction management, and inclusively engage with communities for sustainability.",https://cdmsmith.com/en/Client-Solutions/Projects/USAID-Nepal-Reconstruction-Engineering-Services,X,X,X,,X
USAID,Malawi,NextGen -Next Generation Early Grade Reading Activity,2022,2027,Chemonics,NextGen  activity intends to provide technical support to the Ministry of  Education's National Reading Program to improve students reading  outcomes in grades 1 and 2.  The main goal is to have a minimum of 30% of Malawian Second Grade Students demonstrate: minimum reading proficiency in Chichewa by the end of second grade; measurable improvements in English oral expression by the end of second grade; and measurable improvements in essential sub-skills in English reading.,https://chemonics.com/projects/sustaining-the-legacy-of-holistic-education-in-malawi/,X,X,,,X
USAID,Paraguay,"Higher Education Center for Ethics, Equity and Transparency (HECEET)",2019,2022,"Rutgers, The State University of New Jersey","This activity will focus on capacity building to establish a Higher Education Center for Ethics, Equity and Transparency at the National University of Asuncion. The goal is to transform UNA into an anchor for transparency, civility, equity and transparency in Paraguay.",https://clc.camden.rutgers.edu/heceet-paraguay/,,,,,X
USAID,Mozambique,Community Engagement for Bilingual Education (Nampula),2020,2023,Ajuda de Desenvolvimento do Povo para Povo (ADPP) Mocambique,"This activity aims to strengthen civil society engagement in early grade reading and improve the quality of reading instruction for primary school-aged children to increase
the long-term sustainability of EGR activities.",https://concoursn.com/usaid-mozambique-seeking-applications-for-community-engagement-in-bilingual-education-program/,-,X,,,
USAID,Zambia,Education Data,2018,2022,DevTech,"This activity’s purpose is to provide distinct assessment, data management, and research and evaluation services to monitor and track the progress of USAID’s Let’s Read Zambia.",https://devtechsys.com/projects/Education-Data-Activity/,-,X,,,X
USAID,Eastern and Southern Carribbean,Saint Lucia Youth ConnectEd,2021,2023,World Education,"The activity focuses on improving teaching and learning through youth engagement, digital literacy  and IT integration in Saint Lucia. ",https://edtech.worlded.org/project/project-name-st-lucia-connected/,,,X,X,X
USAID,Morocco,Higher Education Partnership-Morocco,2019,2024,Arizona State University (ASU),This activity supports the Ministry of Education in the creation of a new and comprehensive undergraduate degree in teaching within Moroccan universities. The program focuses on preparing prospective teachers to teach at primary school levels.,https://education.asu.edu/projects-and-impact/higher-education-partnership-morocco,-,X,,,X
USAID,Somalia,Adolescent Girls' Education in Somalia (AGES) project,2018,2031,Care International,"The AGES project will work with communities, private providers, education ministries and religious leaders to improve literacy, numeracy and key life skills (financial literacy and knowledge of sexual and reproductive health) for up to 42,000 of the most marginalised girls in Somalia. The project will target the hardest to reach, out-of-school girls. It will focus on girls engaged in child labour, married and divorced girls, internally displaced persons, girls from minority clans and excluded groups, and pastoralists. Many of these girls have never attended school. The project will use a combination of formal and alternative education pathways to provide flexible learning options for girls who face multiple barriers to effective learning. It will work with girls, families, communities, schools and governments to promote lasting change in education.","https://girlseducationchallenge.org/projects/project/adolescent-girls-education-in-somalia-ages/#:~:text=The%20AGES%20project%20will%20work,most%20marginalised%20girls%20in%20Somalia.",,X,X,,X
USAID,Sri Lanka,YouLead,2017,2024,International Executive Service Corps (IESC),"This activity increases opportunities for employment and entrepreneurship for youth by developing workforce-relevant skills. It works with a wide array of public and private partners to strengthen youth skills development, improve the quality of technical and vocational education and training (TVET), and increase prospects for gainful self-employment. ",https://iesc.org/program/youlead/,-,,,X,X
USAID,South Africa,High Gear,2020,2024,International Youth Foundation,"This activity seeks to create a demand-driven TVET system aligned with industry and with quality course material delivery, that generates learning and employment outcomes for young women and men.",https://iyfglobal.org/initiatives/high-gear,-,,,X,X
USAID,Laos,Learn to Read,2018,2023,Save the Children,"This activity aims to improve reading skills for children from pre-primary to second grade, with a focus on non-Lao-speaking children and children with disabilities. The activity will support the development of evidence-based, supplemental reading materials and guidance, training teachers to effectively use the materials, and engaging communities to support reading outside of the classroom. ",https://laos.savethechildren.net/news/us-launches-new-program-improve-basic-education-laos,X,X,,,X
USAID,Uganda,"Integrated Community, Agriculture and Nutrition (ICAN) Activity",2018,2023,Abt Associates,"This activity aims to increase economic opportunities for 116,000 poor households by improving agriculture and non-agriculture-based livelihoods, and by strengthening their connections to markets and financial services in 8 districts.",https://makingcents.com/project/integrated-community-agriculture-and-nutrition-activity-ican/,-,X,,X,X
USAID,Malawi,STEP - Strengthening Teacher Education & Practice,2022,2027,Florida State University (FSU),"Strengthening Teacher Education Practice (STEP) was awarded on January 20, 2022 and is a five-year activity.The objective of the Strengthening Teacher Education and Practice (STEP) Activity is to strengthen the higher education systems to train teachers in early grade instruction and provide pathways of continuous professional development (CPD) for teachers to excel in their discipline and at the primary school level. ",https://news.fsu.edu/news/education-society/2022/02/09/usaid-florida-state-university-partnership-to-improve-teacher-training-colleges-in-malawi/,-,X,,X,X
USAID,Senegal,Our Children Read (Nos Enfants Lisent),2018,2022,Association Femmes Plus,This activity aims to improve community and parent engagement in early grade reading in the communities of the Fatick region. ,https://ongfemmesplus.com/portfolio/programme-usaid-nos-enfants-lisent/,-,X,,,X
USAID,Rwanda,Schools and Systems,2021,2026,FHI360,"This activity strengthens Rwanda’s education systems from national to local levels for improved literacy outcomes for all children by the end of P3 by improving emergent language and literacy, early grade reading classroom instruction, school environments and strengthening education systems management.  ",https://pages.usaid.gov/rwanda/education-office,X,x,,,x
USAID,Zambia,Together for Early Childhood Evidence,2020,2022,NORC (PRIME); University of Nebraska Medical Center (sub-contractor),"This activity convenes government officials, researchers and other stakeholders interested in pre-primary data and measurement in Africa. The Consortium facilitates cross-country learning on how pre-primary systems can better use data to improve young children’s early learning experiences.",https://pdf.usaid.gov/pdf_docs/PA00XF3V.pdf,X,,,,
USAID,El Salvador,Scholarships for Educational Opportunities Program,2021,2025,International Organization for Migration,"The activity aims to mitigate irregular migration from El Salvador by increasing equitable access to formal educational opportunities for potential migrants and returnees, by providing scholarships to 6450 beneficiaries. The scholarships programs offered are: a) two-year technical education for students to further develop their technical skills, b) short six-month vocational courses for youth to develop specific technical skills that will allow them to find a job in the short term, and c) accelerated education for out-of school youth participants to be re-incorporated into the educational system and receive their upper secondary education diploma.",https://pdf.usaid.gov/pdf_docs/PA00ZD5K.pdf,,,X,X,
USAID,Haiti,"Strong Beginnings: Leveraging the home, school, and church to develop the whol child",2020,2024,"University of Notre Dame (sub-contractors: CRS, CEEC, UniQ, Blue Butterfly)",This activity will improve reading and writing outcomes in both Creole and French. Existing teacher training and coaching efforts will be continued. Lessons will be embedded in a social-emotional learning approach to improve school culture. A learning laboratory will be created as a platform to employ a rapid-feedback model to build systematic learning into the early stages of pre-primary education. ,https://pulte.nd.edu/projects/strong-beginnings-developing-the-whole-child-in-haiti/,X,X,,,X
USAID,Paraguay,Higher Education Partnership/ Rule of Law and Culture of Integrity (ROLCI) Program,2019,2024,University of Notre Dame,"This activity seeks to strengthen the Rule of Law and the culture of lawfulness in Paraguay through higher education institutions. The ROLCI program will support curriculum development, improve quality of education and promote outreach activities at law schools and justice-related institutions (judicial training centers), so that HEI could support advancing Rule of Law reforms.","https://pulte.nd.edu/projects/usaid-paraguay-rule-of-law-and-culture-of-integrity/#:~:text=The%20USAID%20Paraguay%20Rule%20of,of%20anti%2Dcorruption%20in%20Paraguay.",,,,,X
USAID,Philippines,All Children Reading-Philippines (ACR),2018,2022,RTI International,"This activity focuses on EGR instruction and assessment in support of mother-tongue based multilingual education (MTB-MLE), and the use of educational technologies to support improved instruction in early grade reading, especially during school closures.",https://shared.rti.org/content/all-children-reading-philippines-project-background-brief,,,,,
USAID,Jordan,Early Grade Reading and Mathematics Initiative (RAMP),2015,2023,RTI International,"This activity is a comprehensive national reading and math project that focuses on teacher quality, learning materials, and community engagement.",https://shared.rti.org/featured-project-collections/jordanramp,-,X,,,X
USAID,Philippines,Gabay (Guide): Strengthening Inclusive Education for Blind/Deaf Children,2019,2024,"Resources for the Blind, Inc. (RBI)","This activity aims to improve screening, enrollment, and reading performance of the deaf, and increase local government attention to children from kindergarten through Grade 3 who are blind, deaf, or deaf-blind.",https://sts-international.org/portfolio/gabay-guide-strengthening-inclusive-education-for-blind-deaf-children/,X,X,,,X
USAID,Malawi,National Reading Program Implementation and Expansion (NRPIE),2019,2022,Florida State University (FSU),Technical assistance to MoEST to develop standard 1-4 benchmarks and revise Standards 5-8 curricullum,https://sts-international.org/sts-blog/sts-and-florida-state-university-partner-to-improve-teacher-training-colleges-in-malawi/,-,X,X,,X
USAID,Kazakhstan,Safe Migration in Central Asia,2019,2024,Winrock International,"This activity aims at strengthening the mutual accountability and effectiveness of the government, civil society, and the private sector to prevent trafficking in persons, protect survivors, and promote safe migration in Tajikistan and other Central Asian countries, including Kazakhstan, Kyrgyzstan, Turkmenistan and Uzbekistan.",https://winrock.org/document/safe-migration-in-central-asia-2/,-,,,,X
USAID,Tajikistan,Safe Migration in Central Asia,2019,2024,Winrock International,"This activity aims at strengthening the mutual accountability and effectiveness of the government, civil society, and the private sector to prevent trafficking in persons, protect survivors, and promote safe migration in Tajikistan and other Central Asian countries, including Kazakhstan, Kyrgyzstan, Turkmenistan and Uzbekistan.",https://winrock.org/document/safe-migration-in-central-asia-2/,-,,,,X
USAID,Malawi,YESA Activity (Assess the Learners),2018,2022,Abt Associates,"The activity supports the Ministry of Education to deliver national reading assessments (at national, school and community level) and to provide remediation in Chichewa and English to Stdandards 1-4 learners in support of the National Reading Program (NRP).",https://www.abtassociates.com/projects/improving-malawis-national-reading-program,-,X,,,
USAID,Tajikistan ,"Thrive Tajikistan Global Development Alliance (GDA)
",2018,2023,Aga Khan Foundation,"This activity works in 16 districts of Tajikistan along the Afghan border, advancing the partnership by enhancing integrated socio-economic development for people in GBAO and Khalton. It aims to ensure resources and social services are effectively deployed and able to be accessed and used, improve the performance of targeted smallholder farmers, and increase access and use by smallholder farmers to agricultural technical assistance and productive assets. ",https://www.akfusa.org/our-work/escomiad-integrated-development-tajikistan/,-,,X,X,X
USAID,Ethiopia,Reading for Ethiopia's Achievement Developed (READ) II activity,2018,2023,Creative Associates International,This activity’s objective is to contribute to the goal of improving reading proficiency by preparing a range of vulnerable students for learning and supporting a structured gender approach to increase boys’ and girls’ grade retention and grade progression at key grades in key regions or zones. ,https://www.creativeassociatesinternational.com/projects/ethiopia-read-ii/,-,X,,,X
USAID,Morocco,Reading for Success - National Reading Program (NPR),2017,2022,Creatives Associates,"This activity will support the Ministry of Education to develop, roll out, and eventually scale-up a full Arabic Language curriculum for grades 1-6. The activity will also focus on building the capacity of MOE staff and leadership and will offer training to primary teachers using face-to-face workshops and online and/blended learning.",https://www.creativeassociatesinternational.com/projects/morocco-reading-success-national-program-reading/,-,X,,,X
USAID,Nicaragua,Skills in Action,2020,2025,Creative Associates,"This activity aims to build resilience capacity, advance economic and civic participation, and develop skills for professional and personal growth for youth and improvement of their communities.",https://www.creativeassociatesinternational.com/projects/nicaragua-technical-vocational-education-and-training-strengthening-for-at-risk-youth/,-,,,X,X
USAID,Honduras,Creando mi Futuro Aqui,2021,2026,DAI,"This activity seeks to increase employment of at-risk youth in high out-migration areas in support of Mission-wide efforts to reduce irregular migration to the United States by strengthening at-risk youth’s resilience to crime and increasing their income generating opportunities. Working through partnerships with public and private sector stakeholders, this Activity will reach at least 500,000 at-risk youth to become productively engaged in the Honduran economy and society over a period of five years. Out of those 500,000 at-risk youth, 100,000 will 1) secure viable employment, or 2) return to full formal and alternative education and technical/vocational training, or 3) create innovative at-risk youth enterprises including social entrepreneurs. ",https://www.dai.com/our-work/projects/honduras-creando-mi-futuro,,,X,X,X
USAID,Indonesia,Mitra Kunci,2017,2022,"DAI Global, LLC","This activity works with six Project Implementers to improve access to skills, training, information, experience and relevant services for P&V youth. Its main tasks are to support the three Indonesian-led consortia to pilot their models for inclusive workforce development and to meet financial and administrative requirements for implementing USAID grants.",https://www.dai.com/our-work/projects/indonesia-mitra-kunci-initiative,-,,,X,X
USAID,Malawi,SEED Impact Evaluation (D4I),2018,2023,University of North Calorina (UNC),"The activity evaluate the Secondary Education Expansion and Development Activity that expanded 33 CDSS in urban education districts of Mzuzu, Lilongwe, Zomba and Blantyre and construction of new secondary schools country wide ",https://www.data4impactproject.org/,-,,X,,X
DOL/OCFT,Ghana,Adwuma Pa - Empowering Women and Girls in Supply Chains,2018,2022,CARE,"This activity works to reduce the risk of child and forced labor, and other exploitative labor practices by improving the economic participation and empowerment of women and girls within cocoa-producing communities in Ghana. Activities include providing women and adolescent girls Functional Literacy and Numeracy training; life skills training; and vocational training.",https://www.dol.gov/agencies/ilab/adwuma-pa,,,X,X,
DOL/OCFT,Mexico,Campos de Esperanza,2016,2023,World Vision,"This activity works to build the capacity of government, employers, workers’ organizations, and civil society actors to address child labor in migrant communities in Mexico.",https://www.dol.gov/agencies/ilab/campos-de-esperanza-fields-hope,,x,x,x,x
DOL/OCFT,Honduras,Futuros Brillantes,2014,2023,World Vision,"This activity works to reduce child labor and improve labor rights in Honduras, particularly in Valle, Choluteca, Intibucá, Atlántida, La Paz, and in the the San Pedro Sula (SPS) area. The second objective is to work with the Honduran Government, industry, and other stakeholders to build the STSS’ capacity to identify and use all available tools to help ensure remediation of labor law violations related to freedom of association, the rights to organize and bargain collectively, in the maquiladora sector.",https://www.dol.gov/agencies/ilab/futuros-brillantes-project-reduce-child-labor-and-improve-labor-rights-and-working-0,,X,X,,X
DOL/OCFT,Burma,My-PEC Project,2013,2023,ILO,"This activity supports improved access to and participation in education and vocational services to children engaged in child labor (CL) or at risk of CL for the purpose of CL prevention or withdrawal. As of 3/31/22, 3,546 children are benefiting from such support.",https://www.dol.gov/agencies/ilab/my-pec-myanmar-program-elimination-child-labor-0,,X,X,X,
DOL/OCFT,Argentina,Project to Promote Workplace-Based Training for Vulnerable Youth in Argentina (NOEMI),2016,2022,Desarollo y Autogestion (DyA),"The project helps bridge the skills gap in Argentina by increasing the number and quality of on-the-job training programs, such as internships and apprenticeships, and ensures these opportunities are accessible to the youth who need them the most. The project supports improvements in the legal and policy framework surrounding youth training, raises awareness about the benefits of work-based training, documenting and disseminating good apprenticeship practices in Argentina, and helps both public and private-sector youth training programs to increase their effectiveness.",https://www.dol.gov/agencies/ilab/project-promote-workplace-based-training-vulnerable-youth-argentina,,,x,x,
DOL/OCFT,Ethiopia,She Thrives - Reducing Child Labor in Ethiopia’s Agricultural Sector using a Gender-Focused Approach,2020,2025,CARE,"This activity seeks to build agency of vulnerable women and girls in the Ethiopian agricultural sector by enhancing technical and life skills, and employment services. Activities include providing evidence-based leadership and life skills curriculum to adolescents vulnerable to child labor; accelerated education programs to encourage meaningful transitions back into formal schooling, skills, or an entrepreneurship training program; and increased access to Technical and Vocational Education and Training (TVET) and other skills-based training programs.",https://www.dol.gov/agencies/ilab/she-thrives-reducing-child-labor-ethiopias-agricultural-sector-using-gender-focused,,X,X,X,
DOL/OCFT,Vietnam,ENHANCE Project,2014,2022,ILO,"This activity supports improved access to and participation in education and vocational services to children engaged in child labor (CL) or at risk of CL for the purpose of CL prevention or withdrawal. As of 3/31/21, 66 children are benefiting from such support.",https://www.dol.gov/agencies/ilab/technical-support-enhancing-national-capacity-prevent-and-reduce-child-labour-0,,x,x,X,
DOL/OCFT,Costa Rica,"Youth Pathways to Leadership, Learning, and Livelihoods in Costa Rica (YPCR)",2016,2022,YouthBuild International,"This activity works to to improve Costa Rica's country capacity to implement quality workplace-based training alternatives for vulnerable youth excluded from quality employment training opportunities and at high risk of becoming engaged in hazardous activities. The project successfully piloted its strategies to build the capacity of local government, civil society and private sector organizations to implement youth employment training models in the Limón Province which will be mainstreamed into the Ministry of Labor's National Employment System .",https://www.dol.gov/agencies/ilab/youth-pathways-leadership-learning-and-livelihoods-costa-rica,,,,X,
USAID,Malawi,GBAIA Global Book Alliance,2021,2023,Education Development Center (EDC),The activity aims to support the book chain actors in Malawi by  1) support the developemnt of the national book policy; 2) Training and Capacity building of local publishers to create children reading books; 3) Demand driven activities to stimulate culture of raeding; 4) Capacity building of MOE institutions in the national book development policy.,https://www.edc.org/global-book-alliance-action,- ,X,X,,X
USAID,Uganda,Integrated Child and Youth Development (ICYD) Activity,2020,2025,EDC,"This activity supports the initiatives of the Ministry of Education and Sports to improve early grade reading, promote a positive and supportive school climate, and supports the Ministry of Gender, Labor and Social Development's program to reduce the vulnerability of orphans and vulnerable children and their families.",https://www.edc.org/ICYD,-,X,X,X,X
USAID,Philippines,Opportunity 2.0,2020,2025,Education Development Center,"This activity aims to strengthen second-chance education programs for vulnerable out-of-school youth in the Philippines to provide skills and opportunities to improve their education, employment, and livelihood outcomes.",https://www.edc.org/opportunity-20,-,,X,X,X
USAID,Honduras,Honduras Reading Activity (HRA) - De Lectores a Lideres,2017,2023,EDU,"This activity supports the efforts of the Government of Honduras (GOH) in collaboration with other activities and stakeholders (donors, civil society, and private sector) by providing technical assistance to improve reading instruction and outcomes for Honduran students from first to sixth grade.",https://www.edc.org/usaid-de-lectores-l%C3%ADderes-usaid-honduras-reading-activity,,X,,,X
USAID,Honduras,Reading Improvement Activity,2017,2022,EDC,This activity will provide technical assistance to improve early grade reading skills for Honduran students from first to sixth grade in the target regions. The emphasis of this Activity is to build the capacity of Honduran partners to develop locally-grounded solutions to improve basic education reading outcomes.,https://www.edc.org/usaid-de-lectores-l%C3%ADderes-usaid-honduras-reading-activity,-,X,,,X
USAID,Zambia,Let's Read Zambia,2019,2023,EDC,"This activity’s goal is to improve reading outcomes for approximately 1.4 million children attending pre-primary (Kindergarten) through Grades 3 in Zambian public and community schools in the five target provinces of Eastern, Muchinga, Southern, Northwestern and Western.",https://www.edc.org/usaid-lets-read-zambia,X,X,,,X
USAID,Cambodia,All Children Learning,2018,2022,RTI International,"This activity will provide technical assistance to the MoEYS to scale up a national early grade learning program by supporting in-service teacher training, the development of teaching and learning materials, and coaching to build teacher capacity to improve the early grade learning skills of children with and without disabilities in primary schools. ",https://www.edu-links.org/about/education-programs/all-children-reading-cambodia,X,X,X,,X
USAID,Honduras,School-Based Violence Prevention Activity (SBVPA) - Asegurando la Educacion,2017,2022,"DAI Global, LLC","This activity will address school-based violence that impedes the delivery of education and its goals of access, retention and learning and use education and school processes to contribute to violence prevention in target communities. This activity will focus on education centers which may include 'Centros Basicos' (grades 4-9), 'Institutos' (grades 10-12).",https://www.edu-links.org/about/education-programs/school-based-violence-prevention-activity-sbvpa,-,X,X,,X
USAID,Jordan,Schools for a Knowledge Economy Project (SKEP),2015,2022,Multiple,"This activity improves learning environments through construction of 25 accessible, modern, new schools nationwide with a focus on communities hosting Syrian refugees.",https://www.edu-links.org/about/education-programs/schools-knowledge-economy-project-skep,X,X,X,,
USAID,Democratic Republic of the Congo,Catalyze/EduFinance,2021,2024,Palladium/Opportunity International,"This activity increases investment in the low-cost private education sector, strengthens the viability of schools to offer access to equitable education, and increases learning outcomes of disadvantaged children, especially girls.",https://www.edu-links.org/resources/catalyze-edufinance-mobilizing-private-capital-education,,,,,x
USAID,Guatemala,Safe Return to School activity,2021,2022,FUNSEPA,"This activity supports the safe return to schools - providing 1.5M masks, hygiene and disinfection kits for 17,000+ schools, provide technology to schools, supporting roll out of COVID-19 protocol app",https://www.edu-links.org/sites/default/files/media/file/Supporting%20a%20Safe%20Return%20to%20Learning.pdf,,X,X,,X
